severity,status,category,issue,recommendation
CRITICAL,FIXED,Edge Function Auth,"admin-command: no admin verification before executing privileged commands","DONE — added JWT + get_access_state() guard"
CRITICAL,FIXED,Frontend Content Security,"PremiumGate: premium content in DOM when locked (invisible class)","DONE — children not mounted when locked=true"
HIGH,FIXED,RLS Misconfiguration,"system_state: policy named admin-only but qual=true (all authenticated could read)","DONE — migration fix_rls_system_state_admin_guard"
HIGH,FIXED,RLS Misconfiguration,"ai_generation_queue: authenticated SELECT true exposed AI job queue to all users","DONE — migration fix_rls_ai_generation_queue_service_role_only"
HIGH,FIXED,HTTP Security Headers,"vercel.json: no security headers (CSP/HSTS/X-Frame-Options/etc absent)","DONE — full header set added to vercel.json"
HIGH,FIXED,Frontend Auth,"PipelineHistory: hardcoded email shortcut bypassed admin role check","DONE — removed ADMIN_EMAIL, now uses get_access_state() RPC only"
HIGH,FIXED,RLS Write Abuse,"start_sit_decisions: anonymous INSERT open to abuse (table flooding)","DONE — restricted to authenticated only"
MEDIUM,FIXED,RLS Policy Hygiene,"weekly_content_posts: 18 duplicate policies; weekly_content_plans: 9 duplicate policies","DONE — canonical policy set applied"
MEDIUM,OPEN,Error Leakage,"Multiple edge functions return error.message directly to clients","Wrap in generic 'Internal server error' responses"
MEDIUM,OPEN,Rate Limiting,"generate-start-sit: in-memory rate limiter not persistent across instances","Implement DB-backed or Redis rate limiting"
MEDIUM,OPEN,Open Redirect Risk,"portal/index.ts: return_url uses request origin header without allowlist","Hardcode return_url to known domain values"
MEDIUM,OPEN,Analytics Write Abuse,"analytics.events: anon INSERT open — fake analytics injection possible","Rate-limit inserts or restrict to authenticated"
MEDIUM,OPEN,RLS Residual,"start_sit_decisions: old anon INSERT policy still active alongside new restricted policy","DROP POLICY ""Anyone can insert start_sit decisions"" ON public.start_sit_decisions"
MEDIUM,OPEN,RLS Duplicate,"system_state + player_prices: multiple redundant service_role ALL policies","Drop duplicate service_role policies"
MEDIUM,OPEN,RLS Anti-Pattern,"weekly_content tables: auth.role()='service_role' pattern on public role","Drop auth.role() policies — use TO service_role instead"
MEDIUM,OPEN,RLS Missing Policy,"ai_rankings_player_recos: 'Service role full access' misleadingly named — on authenticated role","Rename + add explicit service_role ALL policy"
MEDIUM,OPEN,RLS Fantasy Market,"afl.fantasy_player_market: no service_role write policy","Add service_role ALL policy if pipeline writes to table"
MEDIUM,OPEN,Input Validation,"generate-player-ai: limit_players no upper bound","Add Math.min(limit_players, 100)"
MEDIUM,OPEN,Key Validation,"generate-ai-worker: OpenAI API key not validated for existence on startup","Add early guard for missing API key"
MEDIUM,OPEN,Storage RLS,"storage.buckets: 0 RLS policies","Verify content_assets bucket is private in Supabase dashboard"
MEDIUM,OPEN,CORS,"stripe-webhook: CORS Access-Control-Allow-Origin: * on server-to-server endpoint","Remove CORS headers or restrict to stripe.com"
LOW,FIXED,Configuration,"vercel.json was malformed — duplicate headers key (last one wins in JSON)","DONE — fixed to single valid JSON object"
LOW,OPEN,Bundle Size,"index.js chunk is 812KB minified (239KB gzip)","Add dynamic import() code-splitting for admin pages"
LOW,OPEN,Config,"pipeline-alerts: PIPELINE_ALERT_WEBHOOK_URL missing silently","Add explicit log warning when env var is absent"
INFO,PASS,Secrets,".env only contains public anon key and URL — no service role key or Stripe secrets","No action needed"
INFO,PASS,Billing,"Stripe webhook signature verification correctly implemented","No action needed"
INFO,PASS,Auth,"All admin routes use server-authoritative get_access_state() RPC","No action needed"
INFO,PASS,RLS,"All 89 audited tables have RLS enabled — no unprotected tables found","No action needed"
INFO,PASS,Billing,"stripe_customers/subscriptions/payments — service_role only writes","No action needed"
INFO,PASS,Auth,"PKCE auth flow with localStorage — standard Supabase pattern","No action needed"
